epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
46,train,250000,121,15.024793388429753,5,20,0.1,11500000,1000000,1.25535,1.40477400703e-05,2875000,108158.735187,2384.9861999999994,104.82240945461238
46,test,125000,70,18.271428571428572,13,21,0.05,11500000,1000000,1.25535,0,2875000,108653.327025,494.5709889999998,252.74430320456997
47,train,250000,122,14.500000000000005,3,21,0.1,11750000,1000000,1.36653,1.28841943365e-05,2937500,110895.753771,2242.4240439999994,111.48649635153487
47,test,125000,69,17.88405797101449,12,21,0.05,11750000,1000000,1.36653,0,2937500,111245.368476,349.5666460000066,357.5856032900737
48,train,250000,122,14.598360655737704,7,21,0.1,12000000,1000000,1.32772,1.23458688193e-05,3000000,113239.06215,1993.6915840000001,125.39552356358845
48,test,125000,68,17.073529411764703,6,21,0.05,12000000,1000000,1.32772,0,3000000,113588.06854200001,348.98323700000765,358.1833932040617
49,train,250000,124,15.04838709677419,6,20,0.1,12250000,1000000,1.49307,1.15034924116e-05,3062500,115590.691884,2002.6210409999912,124.83639933951991
49,test,125000,71,18.1830985915493,12,21,0.05,12250000,1000000,1.49307,0,3062500,115940.053269,349.3356649999914,357.82203915538673
50,train,250000,125,15.071999999999997,7,21,0.1,12500000,1000000,1.37216,1.05167462118e-05,3125000,117927.711374,1987.656084000002,125.77628595430583
50,test,125000,71,17.92957746478873,12,21,0.05,12500000,1000000,1.37216,0,3125000,118276.47959,348.74649900000077,358.4265372080473
51,train,250000,121,14.322314049586778,4,21,0.1,12750000,1000000,1.30716,9.53122848473e-06,3187500,120203.765194,1927.2835620000114,129.7162518942288
51,test,125000,73,18.821917808219176,15,21,0.05,12750000,1000000,1.30716,0,3187500,120553.267739,349.4777199999953,357.67659237333265
52,train,250000,124,14.935483870967737,7,21,0.1,13000000,1000000,1.41048,9.15281368286e-06,3250000,122545.802437,1992.5325819999998,125.4684627285056
52,test,125000,72,18.347222222222225,11,21,0.05,13000000,1000000,1.41048,0,3250000,122895.14445400001,349.3094310000015,357.84891247324913
53,train,250000,125,15.328000000000001,1,21,0.1,13250000,1000000,1.34896,9.31838061433e-06,3312500,124884.168069,1989.0214150000102,125.68994889378742
53,test,125000,70,18.099999999999998,13,21,0.05,13250000,1000000,1.34896,0,3312500,125233.059553,348.8672680000018,358.3024590314943
54,train,250000,124,15.17741935483871,6,21,0.1,13500000,1000000,1.34685,8.78484055907e-06,3375000,127227.466973,1994.4053310000018,125.35064769138434
54,test,125000,67,17.83582089552239,12,21,0.05,13500000,1000000,1.34685,0,3375000,127576.30532,348.80954400000337,358.3617540006268
55,train,250000,123,14.70731707317074,3,20,0.1,13750000,1000000,1.49086,8.44786034119e-06,3437500,129570.488015,1994.180509999991,125.36477954044447
55,test,125000,70,17.6,12,21,0.05,13750000,1000000,1.49086,0,3437500,129919.172982,348.66873200000555,358.50648058684544
56,train,250000,123,14.861788617886182,3,21,0.1,14000000,1000000,1.45416,8.08629960343e-06,3500000,131923.232207,2004.0573450000084,124.74692933499813
56,test,125000,71,18.22535211267606,13,21,0.05,14000000,1000000,1.45416,0,3500000,132271.49748,348.24295400001574,358.9448072508435
57,train,250000,121,14.65289256198347,3,21,0.1,14250000,1000000,1.37366,8.15226471466e-06,3562500,134271.653081,2000.153771000012,124.99039005136495
57,test,125000,70,17.942857142857143,14,21,0.05,14250000,1000000,1.37366,0,3562500,134620.861057,349.1832140000188,357.97826180726224
58,train,250000,124,14.758064516129032,4,21,0.1,14500000,1000000,1.32588,7.98120605532e-06,3625000,136625.303211,2004.4401819999912,124.72310336073731
58,test,125000,71,18.394366197183107,11,21,0.05,14500000,1000000,1.32588,0,3625000,136974.53548599998,349.2113149999932,357.94945533194544
59,train,250000,125,15.216000000000003,7,21,0.1,14750000,1000000,1.34889,7.67277693783e-06,3687500,138969.022761,1994.4853230000008,125.34562030467241
59,test,125000,71,17.943661971830988,13,21,0.05,14750000,1000000,1.34889,0,3687500,139317.176641,348.12892600000487,359.0623779421255
60,train,250000,124,15.048387096774198,7,20,0.1,15000000,1000000,1.29766,7.02805317074e-06,3750000,141323.15318,2005.9745350000157,124.62770371110321
60,test,125000,71,18.32394366197183,12,21,0.05,15000000,1000000,1.29766,0,3750000,141672.575437,349.3988660000032,357.757314530033
61,train,250000,127,15.661417322834644,7,21,0.1,15250000,1000000,1.48238,6.56838209311e-06,3812500,143676.144615,2003.5671730000176,124.77744862712312
61,test,125000,72,18.486111111111114,15,21,0.05,15250000,1000000,1.48238,0,3812500,144024.868914,348.69814600000973,358.4762392169315
62,train,250000,126,15.444444444444446,7,21,0.1,15500000,1000000,1.20656,6.41767228139e-06,3875000,146021.479371,1996.6082999999926,125.21234134907729
62,test,125000,71,18.30985915492958,14,21,0.05,15500000,1000000,1.20656,0,3875000,146369.721955,348.219431000005,358.9690547739658
63,train,250000,124,15.016129032258062,7,21,0.1,15750000,1000000,1.33724,6.0691689472e-06,3937500,148368.84627799998,1999.122353999992,125.05487695627109
63,test,125000,71,18.53521126760563,14,21,0.05,15750000,1000000,1.33724,0,3937500,148717.814311,348.9427169999981,358.2249862518285
64,train,250000,127,15.692913385826776,8,20,0.1,16000000,1000000,1.38642,5.76707209166e-06,4000000,150719.81374299998,2001.9972269999853,124.87529784175962
64,test,125000,71,18.450704225352112,14,21,0.05,16000000,1000000,1.38642,0,4000000,151068.492752,348.6593040000007,358.5161748616344
65,train,250000,123,14.967479674796747,8,21,0.1,16250000,1000000,1.4285,5.96487856014e-06,4062500,153068.916224,2000.4215559999866,124.97365830225121
65,test,125000,72,18.583333333333336,14,21,0.05,16250000,1000000,1.4285,0,4062500,153417.401709,348.4618340000161,358.7193425607529
66,train,250000,125,15.328000000000007,6,21,0.1,16500000,1000000,1.34619,5.51467708373e-06,4125000,155415.31613,1997.9124329999904,125.13060926529667
66,test,125000,71,18.338028169014095,14,21,0.05,16500000,1000000,1.34619,0,4125000,155764.14896299999,348.8090329999977,358.3622789952255
67,train,250000,127,15.488188976377954,5,20,0.1,16750000,1000000,1.32999,5.39977115435e-06,4187500,157750.28012799998,1986.1292160000012,125.87297844774257
67,test,125000,71,18.267605633802813,11,21,0.05,16750000,1000000,1.32999,0,4187500,158099.58149799999,349.282933999988,357.876059298117
68,train,250000,126,15.690476190476192,8,20,0.1,17000000,1000000,1.27923,5.77976674799e-06,4250000,160098.769893,1999.18641699999,125.05086963083406
68,test,125000,72,18.236111111111107,11,21,0.05,17000000,1000000,1.27923,0,4250000,160446.88416999998,348.09096000000136,359.1015405858271
69,train,250000,125,15.367999999999995,8,21,0.1,17250000,1000000,1.29593,5.20149228294e-06,4312500,162440.91254,1994.0264540000062,125.37446506715162
69,test,125000,69,17.68115942028986,14,21,0.05,17250000,1000000,1.29593,0,4312500,162790.13562,349.19940700000734,357.96166171610184
70,train,250000,122,14.770491803278693,4,21,0.1,17500000,1000000,1.35102,5.07730661715e-06,4375000,164797.41035199998,2007.2727679999953,124.54709892223308
70,test,125000,71,18.52112676056338,14,21,0.05,17500000,1000000,1.35102,0,4375000,165146.33212399998,348.8904999999795,358.27860030584765
71,train,250000,125,15.520000000000001,7,20,0.1,17750000,1000000,1.34307,5.06335505167e-06,4437500,167138.739457,1992.4054210000031,125.47647048386524
71,test,125000,71,18.183098591549292,11,21,0.05,17750000,1000000,1.34307,0,4437500,167487.82792799998,349.0642550000048,358.1002586472175
72,train,250000,126,15.190476190476192,10,19,0.1,18000000,1000000,1.30976,4.864032102e-06,4500000,169483.624098,1995.793931000022,125.26343332186295
72,test,125000,72,18.47222222222223,13,21,0.05,18000000,1000000,1.30976,0,4500000,169831.701125,348.0590090000187,359.1345052642878
73,train,250000,123,15.113821138211382,7,21,0.1,18250000,1000000,1.31109,4.78392137046e-06,4562500,171828.544279,1996.8411370000103,125.19774125626836
73,test,125000,71,18.281690140845075,14,21,0.05,18250000,1000000,1.31109,0,4562500,172177.21753099997,348.6483639999933,358.5274244969708
74,train,250000,126,15.174603174603176,9,21,0.1,18500000,1000000,1.27252,4.64481538359e-06,4625000,174166.460624,1989.2410690000106,125.67607008318743
74,test,125000,73,18.602739726027398,12,21,0.05,18500000,1000000,1.27252,0,4625000,174515.96199699998,349.47480299999006,357.67957783212074
75,train,250000,127,15.377952755905515,8,21,0.1,18750000,1000000,1.38632,4.52247822436e-06,4687500,176515.93233699998,1999.9683910000022,125.00197559372313
75,test,125000,68,17.970588235294116,12,21,0.05,18750000,1000000,1.38632,0,4687500,176865.170395,349.21744900001795,357.94316795434116
76,train,250000,126,15.13492063492063,4,21,0.1,19000000,1000000,1.36469,4.55203822465e-06,4750000,178857.030921,1991.8584560000163,125.51092636473862
76,test,125000,70,18.085714285714282,13,21,0.05,19000000,1000000,1.36469,0,4750000,179206.44096399998,349.38476699998137,357.7717513940917
77,train,250000,128,15.570312499999998,8,21,0.1,19250000,1000000,1.23235,4.31001595344e-06,4812500,181178.551771,1972.1086950000026,126.76786053113551
77,test,125000,72,18.79166666666667,13,21,0.05,19250000,1000000,1.23235,0,4812500,181635.784732,457.21572100001504,273.39392382790766
78,train,250000,124,14.862903225806452,2,21,0.1,19500000,1000000,1.45301,4.56894510815e-06,4875000,183598.70972999997,1962.9229729999788,127.36108519730627
78,test,125000,69,18.173913043478258,11,21,0.05,19500000,1000000,1.45301,0,4875000,183947.57354699998,348.8414079999784,358.32902038971173
79,train,250000,129,15.674418604651159,4,21,0.1,19750000,1000000,1.27696,4.12393641117e-06,4937500,185908.379887,1960.8041089999897,127.49871282527046
79,test,125000,72,18.555555555555557,13,21,0.05,19750000,1000000,1.27696,0,4937500,186266.21446999998,357.81188799999654,349.34557568417404
80,train,250000,126,15.317460317460318,6,20,0.1,20000000,1000000,1.34352,4.07302524486e-06,5000000,188244.661451,1978.4448540000012,126.36187432495394
80,test,125000,70,18.400000000000002,14,21,0.05,20000000,1000000,1.34352,0,5000000,188593.238846,348.55367600001046,358.6248219628481
81,train,250000,125,15.663999999999994,7,21,0.1,20250000,1000000,1.28578,4.24712996357e-06,5062500,190560.608518,1967.367717999994,127.07334664113908
81,test,125000,70,18.571428571428584,15,21,0.05,20250000,1000000,1.28578,0,5062500,190909.83917899997,349.2097589999903,357.951050274066
